Borough,ParkorPlayground,Date,SportsPlayed,KIMorSSE,Attendance,Cancellation
Staten Island,Greenbelt Recreation Center,05/03/2024 10:00:00 AM,Various Sports,S.S.E,6,
Staten Island,DeMatti Park Fieldhouse,10/06/2022 10:00:00 AM,,K.I.M,31,
Queens,Bowne Park,06/07/2022 06:00:00 PM,,K.I.M,75,
Brooklyn,Rappaport Playground,09/06/2023 10:00:00 AM,,K.I.M,30,
Bronx,Poe Park,08/12/2023 10:00:00 AM,,K.I.M,72,
Bronx,Willis Playground,08/08/2023 10:00:00 AM,,K.I.M,20,
Queens,Hoover - Manton Playgrounds,09/17/2024 06:00:00 PM,,K.I.M,85,
Bronx,St. Mary's Park,08/31/2024 11:26:00 AM,,K.I.M,900,
Manhattan,Happy Warrior Playground,07/02/2024 09:41:00 AM,,K.I.M,172,
Brooklyn,Brower Park,07/12/2022 10:00:00 AM,,K.I.M,20,
Queens,Bayswater Park,10/04/2024 06:00:00 PM,,K.I.M,85,
Brooklyn,Fort Hamilton Senior Recreation Center,08/03/2023 09:00:00 AM,Various Sports,S.S.E,37,
Manhattan,Bloomingdale Playground,06/16/2023 06:00:00 PM,,K.I.M,130,
Manhattan,Happy Warrior Playground,08/31/2022 06:00:00 PM,,K.I.M,214,
Bronx,Williamsbridge Oval Recreation Center,08/18/2022 11:00:00 AM,Various Sports,S.S.E,6,
Staten Island,Austin J. McDonald Playground Fieldhouse,09/06/2024 10:00:00 AM,,K.I.M,32,
Brooklyn,Calvert Vaux Park,09/14/2023 10:00:00 AM,,K.I.M,27,
Staten Island,Arrochar Playground,07/28/2023 10:00:00 AM,,K.I.M,50,
Staten Island,Skyline Playground,08/31/2024 11:28:00 AM,Various Sports,S.S.E,135,
Queens,Juniper Valley Park,05/25/2022 06:00:00 PM,,K.I.M,0,No Attendance
Bronx,Behagen Playground,08/06/2022 10:00:00 AM,,K.I.M,0,Called Out
Brooklyn,Carroll Park,06/25/2024 10:00:00 AM,,K.I.M,84,
Brooklyn,John J Carty Park,07/22/2022 09:00:00 AM,Various Sports,S.S.E,1,
Manhattan,Samuel Seabury Playground,07/18/2024 09:55:00 AM,,K.I.M,140,
Bronx,Slattery Playground,09/03/2024 11:26:00 AM,,K.I.M,8,
Brooklyn,Hamilton Metz Field,05/10/2024 10:00:00 AM,,K.I.M,,Bad Weather
Brooklyn,Maria Hernandez Park,08/01/2024 10:00:00 AM,,K.I.M,124,
Queens,Helen Marshall Playground,06/12/2024 06:00:00 PM,,K.I.M,93,
Manhattan,Samuel Seabury Playground,08/18/2022 06:00:00 PM,,K.I.M,175,
Queens,Torsney Playground,08/12/2022 06:00:00 PM,,K.I.M,32,
Bronx,Al Quinones Playground,06/04/2022 06:00:00 PM,,K.I.M,120,
Queens,Queensbridge Park,07/14/2022 06:00:00 PM,,K.I.M,21,
Manhattan,J. Hood Wright Park,06/01/2024 09:52:00 AM,,K.I.M,567,
Queens,Bowne Playground,08/10/2023 06:00:00 PM,,K.I.M,175,
Queens,Astoria Park,07/05/2022 06:00:00 PM,,K.I.M,35,
Queens,Phil Scooter Rizzuto Park,09/27/2023 06:00:00 PM,,K.I.M,92,
Queens,Hoover - Manton Playgrounds,07/06/2023 06:00:00 PM,,K.I.M,40,
Queens,Torsney Playground,06/02/2023 06:00:00 PM,,K.I.M,0,Detailed to Event
Staten Island,Levy Playground,05/17/2024 10:00:00 AM,,K.I.M,25,
Staten Island,Faber Park Recreation Center,07/17/2024 08:26:00 AM,,K.I.M,10,
